
-------------------------------------------------------------------------------------
Libro ID(1)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(2)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(3)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(4)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(5)############( writes: 0 ; reads: 0 ; totalReads: 1 ; finalVersion: false )
Libro ID(6)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(7)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(8)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(9)############( writes: 0 ; reads: 0 ; totalReads: 1 ; finalVersion: false )
Libro ID(10)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(11)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(12)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(13)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(14)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(15)############( writes: 0 ; reads: 0 ; totalReads: 1 ; finalVersion: false )
Libro ID(16)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(17)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(18)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(19)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(20)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(21)############( writes: 0 ; reads: 0 ; totalReads: 1 ; finalVersion: false )
Libro ID(22)############( writes: 0 ; reads: 0 ; totalReads: 1 ; finalVersion: false )
Libro ID(23)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
Libro ID(24)############( writes: 0 ; reads: 0 ; totalReads: 0 ; finalVersion: false )
-------------------------------------------------------------------------------------
RESULTADO: [ reviews( 0 ) ; reads( 0 ) ; totalReads( 6 ) ; total( 6 ) ]
-------------------------------------------------------------------------------------

-------------------------------------------------------------------------------------
Libro ID(1)############( writes: 3 ; reads: 0 ; totalReads: 12 ; finalVersion: false )
Libro ID(2)############( writes: 7 ; reads: 0 ; totalReads: 15 ; finalVersion: false )
Libro ID(3)############( writes: 5 ; reads: 0 ; totalReads: 10 ; finalVersion: false )
Libro ID(4)############( writes: 4 ; reads: 0 ; totalReads: 12 ; finalVersion: false )
Libro ID(5)############( writes: 4 ; reads: 0 ; totalReads: 14 ; finalVersion: false )
Libro ID(6)############( writes: 4 ; reads: 0 ; totalReads: 14 ; finalVersion: false )
Libro ID(7)############( writes: 5 ; reads: 0 ; totalReads: 9 ; finalVersion: false )
Libro ID(8)############( writes: 5 ; reads: 0 ; totalReads: 15 ; finalVersion: false )
Libro ID(9)############( writes: 8 ; reads: 0 ; totalReads: 8 ; finalVersion: false )
Libro ID(10)############( writes: 3 ; reads: 0 ; totalReads: 12 ; finalVersion: false )
Libro ID(11)############( writes: 5 ; reads: 0 ; totalReads: 10 ; finalVersion: false )
Libro ID(12)############( writes: 6 ; reads: 0 ; totalReads: 4 ; finalVersion: false )
Libro ID(13)############( writes: 7 ; reads: 0 ; totalReads: 13 ; finalVersion: false )
Libro ID(14)############( writes: 7 ; reads: 0 ; totalReads: 14 ; finalVersion: false )
Libro ID(15)############( writes: 3 ; reads: 0 ; totalReads: 11 ; finalVersion: false )
Libro ID(16)############( writes: 4 ; reads: 0 ; totalReads: 10 ; finalVersion: false )
Libro ID(17)############( writes: 4 ; reads: 0 ; totalReads: 7 ; finalVersion: false )
